grid_id,timestamp,correction_score
5*0*4*9*,2026-04-07 01:43:20.230072,0.068664625
5*0*5*5*,2026-04-07 01:43:21.382490,0.047621243
5*0*8*7*,2026-04-07 01:43:21.206906,0.070443645
5*0*8*8*,2026-04-07 01:43:20.859169,0.10483847
5*1*2*4*,2026-04-07 01:43:20.230072,0.07747199
5*1*5*8*,2026-04-07 01:43:20.230072,0.07497236
5*1*7*2*,2026-04-07 01:43:20.503509,0.051039845
5*1*8*7*,2026-04-07 01:43:20.859169,0.09643145
5*2*4*8*,2026-04-07 01:43:20.859169,0.07592166
5*2*9*2*,2026-04-07 01:43:21.382490,0.06423981
5*3*6*2*,2026-04-07 01:43:20.503509,0.10208444
5*4*0*6*,2026-04-07 01:43:20.503509,0.071987554
5*4*6*2*,2026-04-07 01:43:21.206906,0.11171444
5*5*1*2*,2026-04-07 01:43:21.967120,0.07837298
5*5*1*4*,2026-04-07 01:43:20.859169,0.058295257
5*5*5*8*,2026-04-07 01:43:21.584027,0.08329065
5*7*0*9*,2026-04-07 01:43:21.206906,0.06478616
5*7*2*7*,2026-04-07 01:43:21.206906,0.059265547
5*7*9*7*,2026-04-07 01:43:22.331801,0.08663844
5*8*2*8*,2026-04-07 01:43:21.382490,0.059485536
